YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,EW26,18582,7098
2025-10,WEEKDAY,21,TRAIN,NS9/TE2,46962,81052
2025-10,WEEKDAY,6,TRAIN,BP6/DT1,62966,27244
2025-10,WEEKDAY,10,TRAIN,NS13,50105,32002
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,CC17/TE9,2724,2651
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,NS23,334,1202
2025-10,WEEKENDS/HOLIDAY,20,TRAIN,TE13,1517,1338
2025-10,WEEKENDS/HOLIDAY,20,TRAIN,DT23,1307,1549
2025-10,WEEKDAY,20,TRAIN,EW20,9785,15967
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,TE24,286,231
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,PE7,2720,1015
2025-10,WEEKDAY,11,TRAIN,NS10,37936,19879
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,CC4/DT15,11210,18461
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,CG1/DT35,6066,7751
2025-10,WEEKDAY,8,TRAIN,TE3,38849,20180
2025-10,WEEKDAY,10,TRAIN,NS23,13372,47235
2025-10,WEEKDAY,15,TRAIN,NS2,22348,27833
2025-10,WEEKDAY,9,TRAIN,BP5,3013,2000
2025-10,WEEKDAY,16,TRAIN,DT13,15629,11622
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,BP13,558,530
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,DT7,2205,1342
2025-10,WEEKDAY,9,TRAIN,CC11,7601,73628
2025-10,WEEKDAY,23,TRAIN,DT24,763,3953
2025-10,WEEKDAY,11,TRAIN,TE15,8276,10558
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1398,1578
2025-10,WEEKDAY,16,TRAIN,DT18,20215,8800
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,NE7/DT12,30352,29182
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,PW4,2464,2707
2025-10,WEEKENDS/HOLIDAY,17,TRAIN,DT20,3857,3313
2025-10,WEEKENDS/HOLIDAY,17,TRAIN,EW17,12407,14034
2025-10,WEEKDAY,16,TRAIN,NE7/DT12,33269,29394
2025-10,WEEKDAY,6,TRAIN,NS15,19673,22122
2025-10,WEEKDAY,16,TRAIN,SE2,3985,7478
2025-10,WEEKDAY,6,TRAIN,NS5,70493,18828
2025-10,WEEKDAY,12,TRAIN,DT29,6905,4377
2025-10,WEEKENDS/HOLIDAY,12,TRAIN,EW12/DT14,26025,44506
2025-10,WEEKDAY,20,TRAIN,NS28,1114,658
2025-10,WEEKDAY,19,TRAIN,TE5,7733,13939
2025-10,WEEKDAY,17,TRAIN,DT28,31595,15357
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,DT5,8800,7034
2025-10,WEEKDAY,17,TRAIN,EW33,18319,12678
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,DT20,2586,2253
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,PE4,829,954
2025-10,WEEKENDS/HOLIDAY,5,TRAIN,CC4/DT15,58,7
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,NE8,21379,9653
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,CC25,3843,3563
2025-10,WEEKDAY,17,TRAIN,EW2/DT32,78325,118857
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,NE7/DT12,4166,4024
2025-10,WEEKDAY,7,TRAIN,EW21/CC22,26277,64404
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,SE2,13,407
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,CC8,631,601
2025-10,WEEKDAY,16,TRAIN,BP13,1264,1432
2025-10,WEEKDAY,12,TRAIN,CE1/DT16,26747,46618
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,EW14/NS26,3360,13156
2025-10,WEEKDAY,18,TRAIN,NS27/CE2/TE20,43591,6579
2025-10,WEEKDAY,17,TRAIN,DT17,77666,10329
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,PW7,467,684
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,30120,29773
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,EW3,43,1185
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,TE12,10,101
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,EW11,10230,9575
2025-10,WEEKENDS/HOLIDAY,22,TRAIN,NE11,3093,4418
2025-10,WEEKDAY,5,TRAIN,NE12/CC13,9807,1068
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,NS2,10878,16135
2025-10,WEEKENDS/HOLIDAY,11,TRAIN,TE7,3891,2330
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,PW3,718,41
2025-10,WEEKDAY,17,TRAIN,CC10/DT26,46734,23149
2025-10,WEEKDAY,9,TRAIN,PE4,2385,817
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,NE8,23274,25609
2025-10,WEEKENDS/HOLIDAY,21,TRAIN,DT20,2570,2521
2025-10,WEEKDAY,13,TRAIN,BP11,3887,3507
2025-10,WEEKENDS/HOLIDAY,7,TRAIN,PE1,1091,302
2025-10,WEEKDAY,15,TRAIN,NE18,15115,13228
2025-10,WEEKENDS/HOLIDAY,23,TRAIN,EW1,1053,7336
2025-10,WEEKDAY,20,TRAIN,NS7,21484,38963
2025-10,WEEKDAY,13,TRAIN,NE7/DT12,34977,45660
2025-10,WEEKDAY,11,TRAIN,NE15,23009,11500
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,BP10,1292,1449
2025-10,WEEKENDS/HOLIDAY,0,TRAIN,NS7,1725,1541
